Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri,Song Duration
Go - Anfisa Letyago Remix,Anfisa Letyago,36,0.674,0.958,126.989,0.0404,[],38,7icoOm5fKKPo49jVxoj1Cq,2DILDB3AW4KcxN1zyOVw3s,180000
Haze - Original Mix,Anfisa Letyago,40,0.645,0.676,128.005,0.0373,[],38,7icoOm5fKKPo49jVxoj1Cq,5BzsY9SIZapFmhjQgb1W3F,180000
Perzechella,Anfisa Letyago,38,0.768,0.956,144.021,0.0528,[],38,7icoOm5fKKPo49jVxoj1Cq,52YiBbdDeJhVpKghqPN5ev,180000
Danza,Anfisa Letyago,36,0.743,0.949,144.999,0.067,[],38,7icoOm5fKKPo49jVxoj1Cq,3no0PA8ugEmUA5ysy2RwkF,180000
So Good,Anfisa Letyago,31,0.758,0.894,126.016,0.131,[],38,7icoOm5fKKPo49jVxoj1Cq,38HxLnLtE8V9sYmvrSqofu,180000
Confronted - Anfisa Letyago Stranger Remix,Anfisa Letyago,36,0.675,0.543,128.993,0.0628,[],38,7icoOm5fKKPo49jVxoj1Cq,6Qi7MMxq96GcxcODJ6nazA,180000
Saluting Battery,Anfisa Letyago,33,0.704,0.848,135.001,0.0469,[],38,7icoOm5fKKPo49jVxoj1Cq,7i38OtE94OdubOtwQReQk1,180000
On & On,Armin van Buuren,70,0.681,0.933,128.036,0.104,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,6wLqNGHQIja6xqT0cfrzBB,180000
Blah Blah Blah,Armin van Buuren,68,0.612,0.963,138.009,0.0531,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,1moFkZDqcjQNeXtyoanLHv,180000
This Is What It Feels Like,Armin van Buuren,73,0.551,0.833,129.885,0.03,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,5GjnIpUlLGEIYk052ISOw9,180000
No Fun,Armin van Buuren,67,0.731,0.904,121.03,0.0349,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,1q3qh7hEJrPmPH7uOteYSr,180000
Lose This Feeling,Armin van Buuren,68,0.464,0.867,75.026,0.0624,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,1lzIk2EDN5d1gIbxfmu2oF,180000
Great Spirit,Armin van Buuren,68,0.592,0.911,103.517,0.0659,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,3Nku6gLNqnwUuq8GLkqyhW,180000
God Is In The Soundwaves,Armin van Buuren,66,0.677,0.912,144.006,0.0413,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,51w0BMC24JALh8uzwRzjMB,180000
Love Is A Drug,Armin van Buuren,66,0.627,0.964,127.975,0.0569,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,4Yyho5h1ABXsvFyuEvyoke,180000
