Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Biggest Regret (feat. Bbyafricka),Gorgon City,60,0.69,0.842,128.033,0.0863,230613,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,6xisc7D96wTIk0SHYMjtBl,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
Voodoo,Gorgon City,65,0.663,0.883,129.057,0.0593,214120,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,3hQSct6Ay5azm9dfFxHixY,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
Remember (feat. Stevie Appleton),Gorgon City,62,0.655,0.89,127.979,0.0611,199967,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",62.0,4VNQWV2y1E97Eqo2D5UTjx,5Cv9UBYh2VkiCspwh4Wog5,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
La Danza,John Summit,69,0.797,0.88,125.996,0.0442,157619,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,2FEUloDXMvRnyfLcsrCfkw,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
Sweet Disposition - John Summit & Silver Panda Remix,John Summit,69,0.587,0.919,125.977,0.0429,251904,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,6rGf5AsEaVskU0pO2ewcUL,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
I Remember - John Summit Remix,John Summit,62,0.531,0.855,126.018,0.0335,240000,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,3zFsJdVCu29em7VUB3Ujqp,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
Human (feat. Echoes),John Summit,64,0.544,0.856,125.992,0.0314,219047,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,4G4patpYxsF6ovHZOX9wgR,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
What A Life (feat. Stevie Appleton),John Summit,65,0.677,0.732,126.018,0.031,171547,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,587xXusqiMW9gSXkNK8Zxf,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
Better Than This,John Summit,67,0.673,0.839,125.03,0.0373,188160,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,5OLSGox6JVpAyEQuoSYRcs,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
Deep End - SIDEPIECE Remix,John Summit,57,0.763,0.665,126.025,0.0807,196666,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,7JdiXX87BugXUDhQ89GEc8,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
Make Me Feel,John Summit,64,0.767,0.669,126.013,0.0449,201904,"['EDM', 'House', 'Pop Dance', 'UK Dance']",70.0,7kNqXtgeIwFtelmRjWv205,0RoGOiZUCQyqAZSPBSk75T,https://i.scdn.co/image/ab6761610000f178e01586ca0ac85d3ad70024b7
Everything Eventually Ends,L'Impératrice,60,0.865,0.484,95.016,0.177,177280,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,5LInOGDHqrgetnMlnvaDNq,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
Le départ,L'Impératrice,62,0.539,0.736,110.0,0.036,119633,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,0UODoj6stYv542c7NB9MNd,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
Peur des filles,L'Impératrice,54,0.915,0.408,102.02,0.0868,208805,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,00mO8JKk2wQ7VqdPcY1r4O,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
Vanille fraise,L'Impératrice,63,0.767,0.547,103.03,0.0474,238183,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,7nZ9CzhiFRPhOQCn7eDSnn,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
La lune,L'Impératrice,53,0.645,0.498,111.963,0.0376,193629,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,6rbbDK18oqK3MxHGQhpmn2,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
Me Da Igual,L'Impératrice,58,0.795,0.475,115.03,0.0593,209242,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,0ri4EFGPe0GqSl8Mp1yYuE,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
Agitations tropicales,L'Impératrice,67,0.76,0.401,115.989,0.0674,248892,"['French Indie Pop', 'French Indietronica', 'French Synthpop']",60.0,4PwlsrN0t5mLN0C827cbEU,2La21GqU4fKTQLcfLxTeoz,https://i.scdn.co/image/ab6761610000f1789a46d5eabdf17fd6f3385926
We got so much,LE SSERAFIM,75,0.686,0.658,101.0,0.0863,165748,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,5fCKBIJ7BwaCpxxwZCbS5X,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
Sour Grapes,LE SSERAFIM,76,0.779,0.801,139.998,0.0457,196540,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,6wBpO4Xc4YgShnENGSFA1M,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,79,0.795,0.875,104.008,0.0525,182148,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,51vRumtqbkNW9wrKfESwfu,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
EASY,LE SSERAFIM,88,0.744,0.7,165.004,0.0507,164545,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,2O4Bb2WCkjlTPO827OnBMI,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
FEARLESS (2023 Ver.),LE SSERAFIM,73,0.856,0.615,103.948,0.133,168437,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,4K8jDTlNhZWEdnzZVGRMtN,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
ANTIFRAGILE,LE SSERAFIM,78,0.879,0.784,105.019,0.081,184444,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,0bMoNdAnxNR0OuQbGDovrr,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
Swan Song,LE SSERAFIM,79,0.709,0.628,90.038,0.0263,157179,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,2GquhrcHbl2zOnF5javAFp,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
Perfect Night,LE SSERAFIM,88,0.697,0.82,136.054,0.0308,159080,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,74X2u8JMVooG2QbjRxXwR8,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,79,0.663,0.872,142.951,0.2,185538,['K-Pop Girl Group'],81.0,4SpbR6yFEvexJuaBpgAU5p,4QhnNyKDsAkXPwHkSnuc89,https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954
Macetando,LUDMILLA,81,0.807,0.789,129.992,0.0769,167786,"['Funk Carioca', 'Funk Pop', 'Funk Rj', 'Pagode Baiano', 'Pop Nacional']",80.0,3CDoRporvSjdzTrm99a3gi,6eJUG282cUKuIoa72sEsqO,https://i.scdn.co/image/ab6761610000f178cbc5629f5ff6eecca7d192e8
Você Não Sabe o Que é Amor - Ao Vivo,LUDMILLA,72,0.616,0.641,143.997,0.0383,204831,"['Funk Carioca', 'Funk Pop', 'Funk Rj', 'Pagode Baiano', 'Pop Nacional']",80.0,3CDoRporvSjdzTrm99a3gi,7r1VxuU92S2GKWvEX6ivqF,https://i.scdn.co/image/ab6761610000f178cbc5629f5ff6eecca7d192e8
Ainda Gosto de Você / Já Era - Ao Vivo,LUDMILLA,74,0.537,0.711,162.066,0.0374,345053,"['Funk Carioca', 'Funk Pop', 'Funk Rj', 'Pagode Baiano', 'Pop Nacional']",80.0,3CDoRporvSjdzTrm99a3gi,06WkQibI8OhOLjDxIRKu5B,https://i.scdn.co/image/ab6761610000f178cbc5629f5ff6eecca7d192e8
Saudade da Gente - Ao Vivo,LUDMILLA,72,0.539,0.571,164.118,0.0557,187979,"['Funk Carioca', 'Funk Pop', 'Funk Rj', 'Pagode Baiano', 'Pop Nacional']",80.0,3CDoRporvSjdzTrm99a3gi,7zD6UkCZatI0QhTr3Q9c59,https://i.scdn.co/image/ab6761610000f178cbc5629f5ff6eecca7d192e8
A Preta Venceu - Ao Vivo,LUDMILLA,73,0.624,0.596,148.039,0.0443,163056,"['Funk Carioca', 'Funk Pop', 'Funk Rj', 'Pagode Baiano', 'Pop Nacional']",80.0,3CDoRporvSjdzTrm99a3gi,6U3kssAL4oPYbkYFbkFDJp,https://i.scdn.co/image/ab6761610000f178cbc5629f5ff6eecca7d192e8
